ID,Value,Date
NVDA,148.29,2024-11-12
NVDA,146.27,2024-11-13
NVDA,146.76,2024-11-14
NVDA,141.98,2024-11-15
NVDA,140.15,2024-11-18
NVDA,147.01,2024-11-19
NVDA,145.89,2024-11-20
NVDA,146.67,2024-11-21
NVDA,141.95,2024-11-22
NVDA,136.02,2024-11-25
NVDA,136.92,2024-11-26
NVDA,135.34,2024-11-27
NVDA,138.25,2024-11-29
NVDA,138.63,2024-12-02
NVDA,140.26,2024-12-03
NVDA,145.14,2024-12-04
NVDA,145.06,2024-12-05
NVDA,142.44,2024-12-06
NVDA,138.81,2024-12-09
NVDA,135.07,2024-12-10
NVDA,139.31,2024-12-11
NVDA,137.34,2024-12-12
NVDA,134.25,2024-12-13
NVDA,132,2024-12-16
NVDA,130.39,2024-12-17
NVDA,128.91,2024-12-18
NVDA,130.68,2024-12-19
NVDA,134.7,2024-12-20
NVDA,139.67,2024-12-23
NVDA,140.22,2024-12-24
NVDA,139.93,2024-12-26
NVDA,137.01,2024-12-27
NVDA,137.49,2024-12-30
NVDA,134.29,2024-12-31
NVDA,138.31,2025-01-02
NVDA,144.47,2025-01-03
NVDA,149.43,2025-01-06
NVDA,140.14,2025-01-07
NVDA,140.11,2025-01-08
NVDA,135.91,2025-01-10
NVDA,133.23,2025-01-13
NVDA,131.76,2025-01-14
NVDA,136.24,2025-01-15
NVDA,133.57,2025-01-16
NVDA,137.71,2025-01-17
NVDA,140.83,2025-01-21
NVDA,147.07,2025-01-22
NVDA,147.22,2025-01-23
NVDA,142.62,2025-01-24
NVDA,118.42,2025-01-27
